Variable,Mean,Std Dev,Min,Median,Max,Skewness
price_net,191.634,186.625,2.000,142.000,4439.000,4.741
log_price,4.859,0.951,0.693,4.956,8.398,-0.431
taxes_and_charges,28.388,33.632,0.000,17.000,266.000,2.650
star_rating,2.564,1.750,0.000,3.000,5.000,-0.460
review_score_overall,8.117,1.162,1.000,8.400,10.000,-2.062
review_count,2493.200,3308.838,0.000,1316.000,37613.000,2.866
distance_to_center_km,4.135,5.029,0.050,2.300,40.700,2.512
discount_pct,0.000,0.000,0.000,0.000,0.000,0.000
breakfast_included,0.221,0.415,0.000,0.000,1.000,1.342
free_cancellation,0.431,0.495,0.000,0.000,1.000,0.277
is_beachfront,0.009,0.092,0.000,0.000,1.000,10.656
has_free_wifi,0.045,0.207,0.000,0.000,1.000,4.406
has_swimming_pool,0.054,0.225,0.000,0.000,1.000,3.968
has_parking,0.008,0.087,0.000,0.000,1.000,11.281
has_air_conditioning,0.781,0.414,0.000,1.000,1.000,-1.360
has_spa,0.972,0.165,0.000,1.000,1.000,-5.738
has_fitness_center,0.901,0.299,0.000,1.000,1.000,-2.684
lead_time_days,59.108,25.416,29.000,59.000,89.000,-0.007
