Feature,Mean_Absolute_SHAP
taxes_and_charges,0.22295563
review_count,0.19984815
review_score_overall,0.14776932
star_rating,0.12571669
distance_to_center_km,0.06307133
city_Bangkok,0.05378596
city_Kuala_Lumpur,0.04429185
city_Phuket,0.041544296
city_Bali,0.03478711
city_London,0.031311475
city_Sydney,0.028373813
city_Sylhet,0.026965158
city_Dhaka,0.024914062
city_Paris,0.02367781
city_Rome,0.022121316
has_air_conditioning,0.020211387
city_Istanbul,0.018655011
city_Dubai,0.01689681
city_New_York,0.015167692
city_Venice,0.014718285
city_Chittagong,0.008579027
free_cancellation,0.008499567
city_Tokyo,0.0066076503
city_Barcelona,0.00578434
city_Los_Angeles,0.0057231192
property_type_Hostel,0.005353215
city_Vienna,0.0052670813
city_Milan,0.0049533504
city_Lisbon,0.0041912934
city_Toronto,0.0037398706
breakfast_included,0.0036441293
has_free_wifi,0.003494482
city_Amsterdam,0.0031925454
city_Seoul,0.0024501092
property_type_Villa,0.0022707286
city_Prague,0.0015496473
property_type_Guesthouse,0.0015076246
city_Budapest,0.0014915299
property_type_Hotel,0.0014583135
city_Singapore,0.0013625198
has_swimming_pool,0.0013269263
city_Edinburgh,0.0011570733
city_Madrid,0.00099326
has_fitness_center,0.00070645934
city_Miami,0.0007054703
has_parking,0.00058394624
is_beachfront,0.00037489523
city_Coxs_Bazar,0.0003570249
property_type_Resort,0.00015071419
city_Munich,3.1576124e-05
has_spa,2.5738222e-05
city_Berlin,0.0
rooms_left_warning,0.0
pets_allowed,0.0
photo_count,0.0
discount_pct,0.0
has_restaurant,0.0
has_bar,0.0
has_airport_shuttle,0.0
has_24h_front_desk,0.0
